Name,NRIC,Age,Marital Status,Password
John,S1234567A,35,SINGLE,password
Sarah,T7654321B,40,MARRIED,password
Grace,S9876543C,37,MARRIED,password
James,T2345678D,30,MARRIED,password
Rachel,S3456789E,35,SINGLE,password
Ben,S7890123F,42,SINGLE,password
Michelle,T8901234G,43,SINGLE,password
Kevin,S9012345H,39,SINGLE,password
Sophia,T0123456I,45,MARRIED,password
Oliver,S2345678J,38,SINGLE,password
Emma,T3456789K,37,SINGLE,password
William,S4567890L,31,MARRIED,password
Natalie,T5678901M,36,MARRIED,password
Lucas,S6789012N,34,SINGLE,password
Zoe,T7890123O,39,SINGLE,password
Ethan,S8901234P,38,SINGLE,password
Lily,T9012345Q,34,MARRIED,password
Noah,S0123456R,41,MARRIED,password
Ava,T1234567S,36,SINGLE,password
Thomas,S2345678T,42,SINGLE,password
Senpai,114514810,24,SINGLE,password
