Project Name,Applicant Name,NRIC,Age,Marital Status,Flat Type,Application Status
Acacia Breeze,Grace,S9876543C,37,MARRIED,2-ROOM,UNSUCCESSFUL
Acacia Breeze,John,S1234567A,35,SINGLE,2-ROOM,BOOKED
Acacia Breeze,Sarah,T7654321B,40,MARRIED,2-ROOM,PENDING
test,Rachel,S3456789E,35,SINGLE,2-ROOM,PENDING
Acacia Breeze,Kevin,S9012345H,39,SINGLE,2-ROOM,SUCCESSFUL
Acacia Breeze,Sophia,T0123456I,45,MARRIED,3-ROOM,PENDING
Acacia Breeze,Emma,T3456789K,37,SINGLE,2-ROOM,PENDING
Acacia Breeze,William,S4567890L,31,MARRIED,3-ROOM,BOOKED
Acacia Breeze,Lily,T9012345Q,34,MARRIED,2-ROOM,UNSUCCESSFUL
Acacia Breeze,Thomas,S2345678T,42,SINGLE,3-ROOM,SUCCESSFUL
Lotus Gardens,James,T2345678D,30,MARRIED,3-Room,PENDING
Lotus Gardens,Ben,S7890123F,42,SINGLE,2-Room,PENDING
Lotus Gardens,Michelle,T8901234G,43,SINGLE,2-Room,BOOKED
Lotus Gardens,Oliver,S2345678J,38,SINGLE,2-Room,SUCCESSFUL
Lotus Gardens,Natalie,T5678901M,36,MARRIED,3-Room,UNSUCCESSFUL
Moonlight Vista,Lucas,S6789012N,44,SINGLE,2-Room,PENDING
Moonlight Vista,Zoe,T7890123O,39,SINGLE,2-ROOM,PENDING
Moonlight Vista,Ethan,S8901234P,38,SINGLE,2-Room,SUCCESSFUL
Moonlight Vista,Noah,S0123456R,41,MARRIED,2-ROOM,BOOKED
Moonlight Vista,Ava,T1234567S,36,SINGLE,2-Room,UNSUCCESSFUL
