Name,NRIC,Age,Marital Status,Password
Daniel,T2109876H,36,SINGLE,password
Emily,S6543210I,28,SINGLE,password
David,T1234567J,29,MARRIED,password
Olivia,S4567890K,32,SINGLE,password
Alexander,T7890123L,40,MARRIED,password
Sophie,S0123456M,27,SINGLE,password
Benjamin,T3456789N,34,SINGLE,password
Charlotte,S6789012O,29,MARRIED,password
Matthew,T9012345P,38,SINGLE,password
Isabella,S2345678Q,26,SINGLE,password
Jacob,T5678901R,33,MARRIED,password
Mia,S8901234S,30,SINGLE,password
Ethan,T1234567T,37,SINGLE,password
Amelia,S4567890U,29,MARRIED,password
Daniel,T7890123V,31,SINGLE,password
